RT(milliseconds);TIC
173600;5,162755
173700;4,880212
173800;4,2807236
173900;3,740431
174000;3,5725353
174100;3,6192307
174200;3,380085
174300;1,9406533
174400;1,2319679
174500;1,8212118
174600;1,630817
174700;0,45696872
174800;0,2732343
174900;0,9030583
175000;1,4600638
175100;1,3417424
175200;0,49247193
175300;0,1
175400;0,03472666
175500;0,31976068
175600;0,6354191
175700;0,7495752
175800;0,8771285
175900;1,0211633
176000;1,1601632
176100;1,3291965
176200;1,117645
176300;0,572037
176400;0,27797902
176500;0,26189002
176600;0,99935216
176700;1,7882159
176800;1,6175039
176900;1,2671093
177000;1,2504919
177100;1,391366
177200;1,3291652
177300;1,4065428
177400;1,869397
177500;2,0461485
177600;2,015349
177700;1,7655388
177800;1,2875906
177900;1,7379284
178000;2,0466576
178100;1,0594534
178200;0,85320705
178300;1,0015515
178400;1,2008982
178500;1,5122774
178600;1,6128933
178700;1,1511788
178800;1,0410545
178900;1,2096317
179000;1,4691501
179100;1,540944
179200;1,5090975
179300;2,139814
179400;2,7510436
179500;2,4882183
179600;1,7909611
179700;1,6667358
179800;1,2446071
179900;1,1124554
180000;1,2989864
180100;0,7182679
180200;0,55258036
180300;1,3472849
180400;1,4530704
180500;1,3630013
180600;1,4282483
180700;1,2310768
180800;1,8515165
180900;2,766158
181000;3,1382878
181100;2,8474624
181200;2,7012718
181300;2,883133
181400;2,698982
181500;2,9482958
181600;4,0676007
181700;4,991241
181800;4,5632215
181900;3,9622397
182000;4,487251
182100;4,957875
182200;4,078725
182300;2,9643853
182400;3,2903595
182500;3,7797878
182600;3,3921897
182700;2,6832764
182800;2,0656054
182900;2,4617603
183000;2,862504
183100;2,4971085
183200;2,5301588
183300;2,7230375
183400;2,5863507
183500;2,8333492
183600;3,1089602
183700;2,5939422
183800;2,3134782
183900;1,997321
184000;1,1935112
184100;2,1216211
184200;3,8627305
184300;3,7207143
184400;3,0272803
184500;3,3753755
184600;3,4807472
184700;3,0092738
184800;2,1313388
184900;1,8094957
185000;2,4466765
185100;2,2083437
185200;1,2334597
185300;1,5275387
185400;2,2395394
185500;2,5643237
185600;2,6312075
185700;3,1850433
185800;3,4841566
185900;2,911622
186000;2,5588322
186100;2,3272245
186200;1,6967064
186300;1,5670002
186400;1,8792076
186500;1,9550731
186600;2,0947378
186700;1,7356086
186800;1,4511021
186900;1,176749
187000;1,2135065
187100;1,635302
187200;2,0419834
187300;1,5003119
187400;1,1932111
187500;1,931474
187600;1,8362657
187700;1,2315943
187800;1,5014629
187900;1,3143697
188000;1,1798463
188100;1,7558817
188200;1,3197479
188300;1,0148641
188400;1,5337956
188500;1,7503401
188600;1,5894502
188700;1,3423638
188800;1,626456
188900;2,2817452
189000;2,0119715
189100;1,5623268
189200;1,2537858
189300;0,8481092
189400;1,3060206
189500;2,0052376
189600;1,886678
189700;1,7643776
189800;1,9182951
189900;1,7937279
190000;1,6533284
190100;2,029375
190200;2,0448115
190300;2,1425076
190400;2,1508052
190500;1,7579024
190600;1,8821504
190700;2,2713861
190800;2,6990037
190900;2,635538
191000;2,1861012
191100;2,4458263
191200;2,6641014
191300;2,5238242
191400;2,3723116
191500;1,9336088
191600;1,2820895
191700;0,6552793
191800;0,41344625
191900;0,7894312
192000;0,60556144
192100;1,0526155
192200;2,6123009
192300;3,1199296
192400;2,6065826
192500;2,0505521
192600;1,544467
192700;1,5566396
192800;2,1045368
192900;2,8738155
193000;2,851906
193100;2,3632796
193200;2,3760607
193300;2,5161297
193400;2,3419354
193500;1,8261341
193600;1,7813573
193700;2,524998
193800;3,5745256
193900;3,5402358
194000;2,8133054
194100;1,8574723
194200;1,8773948
194300;2,749001
194400;2,6288235
194500;2,084646
194600;2,3572698
194700;2,9744864
194800;3,2718787
194900;2,6814933
195000;2,4652023
195100;2,230236
195200;2,0953383
195300;2,3346515
195400;1,9241587
195500;1,3056892
195600;1,4419341
195700;1,8383157
195800;1,8429481
195900;2,0571392
196000;2,8235307
196100;3,0416825
196200;2,3778763
196300;1,8947589
196400;2,0584147
196500;1,4022129
196600;0,6566161
196700;1,2104194
196800;1,6617618
196900;1,2921698
197000;1,2376442
197100;1,544767
197200;1,739628
197300;1,8063256
197400;1,9556849
197500;2,2278922
197600;3,1286306
197700;3,4550676
197800;2,5120585
197900;2,0055592
198000;2,0244749
198100;2,9548125
198200;3,6632898
198300;2,4845724
198400;2,505334
198500;2,849918
198600;3,0395668
198700;3,683442
198800;4,634683
198900;5,6129546
199000;6,5403833
199100;7,18617
199200;9,409983
199300;12,25492
199400;15,522325
199500;17,575703
199600;18,614132
199700;18,534128
199800;18,528734
199900;18,391132
200000;15,785089
200100;12,738228
200200;10,769492
200300;9,18599
200400;7,563073
200500;6,506043
200600;5,9046693
200700;4,3460755
200800;3,015769
200900;2,5861218
201000;3,0890667
201100;3,6412973
201200;3,5739853
201300;4,0718355
201400;4,3542995
201500;3,3875277
201600;2,8498003
